U+00C0,À,\xc3\x80
U+00C1,Á,\xc3\x81
U+00C2,Â,\xc3\x82
U+00C3,Ã,\xc3\x83
U+00C4,Ä,\xc3\x84
U+00C5,Å,\xc3\x85
U+00C6,Æ,\xc3\x86
U+00C7,Ç,\xc3\x87
U+00C8,È,\xc3\x88
U+00C9,É,\xc3\x89
U+00CA,Ê,\xc3\x8a
U+00CB,Ë,\xc3\x8b
U+00CC,Ì,\xc3\x8c
U+00CD,Í,\xc3\x8d
U+00CE,Î,\xc3\x8e
U+00CF,Ï,\xc3\x8f
U+00D0,Ð,\xc3\x90
U+00D1,Ñ,\xc3\x91
U+00D2,Ò,\xc3\x92
U+00D3,Ó,\xc3\x93
U+00D4,Ô,\xc3\x94
U+00D5,Õ,\xc3\x95
U+00D6,Ö,\xc3\x96
U+00D7,×,\xc3\x97
U+00D8,Ø,\xc3\x98
U+00D9,Ù,\xc3\x99
U+00DA,Ú,\xc3\x9a
U+00DB,Û,\xc3\x9b
U+00DC,Ü,\xc3\x9c
U+00DD,Ý,\xc3\x9d
U+00DE,Þ,\xc3\x9e
U+00DF,ß,\xc3\x9f
U+00E0,à,\xc3\xa0
U+00E1,á,\xc3\xa1
U+00E2,â,\xc3\xa2
U+00E3,ã,\xc3\xa3
U+00E4,ä,\xc3\xa4
U+00E5,å,\xc3\xa5
U+00E6,æ,\xc3\xa6
U+00E7,ç,\xc3\xa7
U+00E8,è,\xc3\xa8
U+00E9,é,\xc3\xa9
U+00EA,ê,\xc3\xaa
U+00EB,ë,\xc3\xab
U+00EC,ì,\xc3\xac
U+00ED,í,\xc3\xad
U+00EE,î,\xc3\xae
U+00EF,ï,\xc3\xaf
U+00F0,ð,\xc3\xb0
U+00F1,ñ,\xc3\xb1
U+00F2,ò,\xc3\xb2
U+00F3,ó,\xc3\xb3
U+00F4,ô,\xc3\xb4
U+00F5,õ,\xc3\xb5
U+00F6,ö,\xc3\xb6
U+00F7,÷,\xc3\xb7
U+00F8,ø,\xc3\xb8
U+00F9,ù,\xc3\xb9
U+00FA,ú,\xc3\xba
U+00FB,û,\xc3\xbb
U+00FC,ü,\xc3\xbc
U+00FD,ý,\xc3\xbd
U+00FE,þ,\xc3\xbe
U+00FF,ÿ,\xc3\xbf
